year,state_name,state_alpha,value,cv_percent,short_desc,exclusion_reason,crop
2009,KENTUCKY,KY,NA,NA,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",USDA value missing or suppressed,Peaches
2007,TENNESSEE,TN,NA,NA,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",USDA value missing or suppressed,Peaches
