year,state_name,state_alpha,commodity,short_desc,production,unit_desc,rank,national_total,pct_of_us
2013,NEW YORK,NY,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",7050,TONS,10,890181,0.007919737671327516
2012,NEW YORK,NY,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",2550,TONS,19,955890,0.0026676709663245772
2011,NEW YORK,NY,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6750,TONS,10,1042340,0.006475814033808546
2010,NEW YORK,NY,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5850,TONS,13,1129770,0.005178045088823389
2009,NEW YORK,NY,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6400,TONS,11,1082420,0.005912677149350529
2008,NEW YORK,NY,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5200,TONS,16,1113180,0.0046713020356096945
2007,NEW YORK,NY,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6300,TONS,10,1115895,0.005645692471065826
2017,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1740,TONS,19,694220,0.0025064100717351848
2016,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",2700,TONS,16,775230,0.0034828373514956853
2015,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4400,TONS,15,823005,0.005346261565847109
2014,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4300,TONS,14,837907,0.005131834439860271
2013,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5200,TONS,14,890181,0.00584150863700753
2012,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5100,TONS,14,955890,0.0053353419326491545
2011,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5150,TONS,15,1042340,0.004940806262831706
2010,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5470,TONS,15,1129770,0.004841693442028024
2009,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4150,TONS,16,1082420,0.003834001589031984
2008,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5250,TONS,15,1113180,0.004716218401336711
2007,NORTH CAROLINA,NC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",650,TONS,22,1115895,5.824920803480614e-4
2017,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4680,TONS,13,694220,0.006741378813632566
2016,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1530,TONS,20,775230,0.0019736078325142217
2015,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1180,TONS,22,823005,0.001433770147204452
2014,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",220,TONS,23,837907,2.6255897134168826e-4
2013,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4960,TONS,16,890181,0.005571900546068721
2012,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3310,TONS,17,955890,0.003462741528837
2011,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5840,TONS,12,1042340,0.005602778364065468
2010,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5980,TONS,12,1129770,0.005293112757463908
2009,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",2410,TONS,20,1082420,0.0022264924890523087
2008,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6500,TONS,11,1113180,0.005839127544512118
2007,OHIO,OH,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4000,TONS,13,1115895,0.0035845666482957625
2008,OKLAHOMA,OK,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",800,TONS,27,1113180,7.186618516322607e-4
2007,OKLAHOMA,OK,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",800,TONS,21,1115895,7.169133296591525e-4
2008,OREGON,OR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1500,TONS,25,1113180,0.0013474909718104889
2007,OREGON,OR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",2700,TONS,16,1115895,0.00241958248759964
2025,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",20310,TONS,4,684750,0.029660460021905807
2024,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",14510,TONS,4,681120,0.02130314775663613
2023,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",18010,TONS,3,578400,0.03113762102351314
2022,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",18340,TONS,4,632650,0.02898917252825417
2021,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",20440,TONS,4,674060,0.030323710055484676
2020,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",13960,TONS,4,646260,0.02160121313403274
2019,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",19080,TONS,4,665420,0.02867361966878062
2018,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",17410,TONS,5,645790,0.02695922823208783
2017,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",21000,TONS,3,694220,0.030249776727838438
2016,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",15800,TONS,5,775230,0.020381048205048824
2015,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",18100,TONS,5,823005,0.021992575986780154
2014,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",14460,TONS,5,837907,0.01725728511636733
2013,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",18300,TONS,6,890181,0.020557616934084193
2012,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",20350,TONS,5,955890,0.021289060456747114
2011,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",17290,TONS,5,1042340,0.016587677725118485
2010,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",20800,TONS,5,1129770,0.01841082698248316
2009,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",27800,TONS,5,1082420,0.02568319136749136
2008,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",21200,TONS,5,1113180,0.019044539068254908
2007,PENNSYLVANIA,PA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",19400,TONS,3,1115895,0.017385148244234448
2025,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",64760,TONS,2,684750,0.09457466228550566
2024,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",82520,TONS,2,681120,0.12115339440920836
2023,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",33560,TONS,2,578400,0.05802213001383126
2022,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",65550,TONS,2,632650,0.1036117916699597
2021,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",72630,TONS,2,674060,0.10775005192416105
2020,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",67330,TONS,2,646260,0.10418407452109059
2019,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",63750,TONS,2,665420,0.09580415376754531
2018,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",59220,TONS,2,645790,0.09170163675498227
2017,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",10400,TONS,5,694220,0.01498084180807237
2016,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",52800,TONS,2,775230,0.06810881931813784
2015,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",59700,TONS,2,823005,0.072539048972971
2014,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",60800,TONS,2,837907,0.07256175207988476
2013,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",64150,TONS,2,890181,0.0720639959738525
2012,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",61850,TONS,2,955890,0.06470409775183338
2011,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",77600,TONS,2,1042340,0.07444787689237677
2010,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",102800,TONS,2,1129770,0.09099197181727255
2009,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",66000,TONS,2,1082420,0.060974483102677335
2008,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",57000,TONS,2,1113180,0.051204656928798574
2007,SOUTH CAROLINA,SC,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",12000,TONS,6,1115895,0.010753699944887288
2008,TENNESSEE,TN,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1600,TONS,23,1113180,0.0014373237032645214
2017,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",2500,TONS,17,694220,0.0036011638961712424
2016,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4200,TONS,12,775230,0.00541774699121551
2015,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4700,TONS,14,823005,0.00571077939988214
2014,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3300,TONS,17,837907,0.003938384570125324
2013,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",7500,TONS,8,890181,0.008425252841837783
2012,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",8400,TONS,8,955890,0.008787622006716254
2011,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4650,TONS,18,1042340,0.0044611163344014425
2010,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",13000,TONS,8,1129770,0.011506766864051976
2009,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3800,TONS,17,1082420,0.003510652057426877
2008,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6300,TONS,12,1113180,0.005659462081604053
2007,TEXAS,TX,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5700,TONS,11,1115895,0.005108007473821462
2017,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3370,TONS,16,694220,0.0048543689320388345
2016,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4250,TONS,11,775230,0.005482243979206171
2015,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3880,TONS,16,823005,0.004714430653519723
2014,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6200,TONS,11,837907,0.00739938919235667
2013,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5141,TONS,15,890181,0.005775229981318406
2012,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5200,TONS,12,955890,0.005439956480348157
2011,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4100,TONS,19,1042340,0.003933457413128154
2010,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4240,TONS,18,1129770,0.003752976269506183
2009,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5500,TONS,12,1082420,0.005081206925223111
2008,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4500,TONS,19,1113180,0.004042472915431467
2007,UTAH,UT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4400,TONS,12,1115895,0.0039430233131253385
2017,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3950,TONS,15,694220,0.0056898389559505635
2016,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3250,TONS,15,775230,0.004192304219392954
2015,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5100,TONS,13,823005,0.006196803178595512
2014,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5020,TONS,13,837907,0.005991118346069433
2013,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6040,TONS,11,890181,0.0067851369552933615
2012,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",7710,TONS,9,955890,0.008065781627593133
2011,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5740,TONS,13,1042340,0.005506840378379415
2010,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5570,TONS,14,1129770,0.004930207033289962
2009,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5010,TONS,14,1082420,0.004628517580975961
2008,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5100,TONS,17,1113180,0.004581469304155662
2007,VIRGINIA,VA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1550,TONS,19,1115895,0.001389019576214608
2023,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6220,TONS,7,578400,0.010753803596127248
2022,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",7240,TONS,8,632650,0.011443926341579072
2021,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",7630,TONS,8,674060,0.01131946710975284
2020,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",8150,TONS,5,646260,0.012611023427103643
2019,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",10990,TONS,7,665420,0.016515884704397223
2018,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",13070,TONS,7,645790,0.020238777311509932
2017,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",12700,TONS,4,694220,0.01829391259254991
2016,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",12400,TONS,7,775230,0.015995253021683888
2015,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",12750,TONS,6,823005,0.015492007946488782
2014,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",12500,TONS,6,837907,0.014918123371686834
2013,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",12900,TONS,7,890181,0.014491434887960987
2012,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",13000,TONS,7,955890,0.013599891200870393
2011,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",13200,TONS,7,1042340,0.012663814110558934
2010,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",14000,TONS,6,1129770,0.012391902776671357
2009,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",14500,TONS,7,1082420,0.013395909166497293
2008,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",16800,TONS,6,1113180,0.015091898884277475
2007,WASHINGTON,WA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",18500,TONS,5,1115895,0.0165786207483679
2017,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6600,TONS,9,694220,0.009507072685892081
2016,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3500,TONS,13,775230,0.004514789159346258
2015,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5660,TONS,11,823005,0.006877236468794236
2014,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5250,TONS,12,837907,0.006265611816108471
2013,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5460,TONS,13,890181,0.0061335840688579064
2012,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5200,TONS,12,955890,0.005439956480348157
2011,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5500,TONS,14,1042340,0.005276589212732889
2010,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5000,TONS,16,1129770,0.004425679563096914
2009,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5290,TONS,13,1082420,0.004887197206260047
2008,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5000,TONS,18,1113180,0.004491636572701629
2007,WEST VIRGINIA,WV,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4000,TONS,13,1115895,0.0035845666482957625
